,Номер_в_госреестре,Наименование_СИ,Единица_измерения_СИ,Модификация_СИ,Тип_СИ,Погрешность_СИ,Дата_утверждения_типа_СИ,Производитель_СИ,Дата_поверки_СИ,Наименование_файла_с_описанием
0,1054-08,Меры твердости эталонные,,МТР-1,МТР,,,"ОАО ""Точприбор"", г.Иваново",2020-01-17T00:00:00Z,2008-01054-08.pdf
1,44121-10,Сигнализаторы загазованности природным газом,,СЗ-1С,СЗ-1С,,,"ООО ""Центр Инновационных технологий-Плюс"" (ЦИТ-Плюс), г.Саратов",2020-01-31T00:00:00Z,2020-44121-10.pdf
2,48026-11,Весы лабораторные,,модификации BK-1500.1,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-03-04T00:00:00Z,2021-48026-11.pdf
3,56018-13,Измерители сопротивления изоляции цифровые,,DT-5505,DT,,,"Фирма ""Shenzhen Everbest Machinery Industry Co., Ltd."", Китай",2020-03-05T00:00:00Z,2013-56018-13.pdf
4,57564-14,Трансформаторы тока,,"ТШП-0,66М","ТШП-0,66М",,,"ОАО ""Армавирский электротехнический завод"", г.Армавир",2020-03-06T00:00:00Z,2014-57564-14.pdf
5,48026-11,Весы лабораторные,,модификации ВК-300,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-03-06T00:00:00Z,2021-48026-11.pdf
6,48026-11,Весы лабораторные,,нет,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-03-17T00:00:00Z,2021-48026-11.pdf
7,22850-11,Дозиметры индивидуальные рентгеновского и гамма-излучений,,ДКГ-РМ1621,ДКГ-РМ1621,,,"ООО ""Полимастер"", Беларусь, г.Минск",2020-03-26T00:00:00Z,2011-22850-11.pdf
8,68997-17,Сигнализаторы загазованности комбинированные,,Нет модификации,RGDCO0MP1,,,"Фирма ""Seitron S.p.A."", Италия",2020-04-02T00:00:00Z,2017-68997-17.pdf
9,53543-13,Анализаторы паров этанола в выдыхаемом воздухе,,Drivesafe II,Drivesafe II,,,"Фирма ""Alcohol Countermeasure Systems Corp."", Канада",2020-04-17T00:00:00Z,2016-53543-13.pdf
10,48026-11,Весы лабораторные,,ВК-1500,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-05-21T00:00:00Z,2021-48026-11.pdf
11,48026-11,Весы лабораторные,,ВК-300,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-05-29T00:00:00Z,2021-48026-11.pdf
12,48026-11,Весы лабораторные,,ВК-150,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-06-03T00:00:00Z,2021-48026-11.pdf
13,48026-11,Весы лабораторные,,ВК-3000.1,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-06-04T00:00:00Z,2021-48026-11.pdf
14,48026-11,Весы лабораторные,,ВК-300.1,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-06-04T00:00:00Z,2021-48026-11.pdf
15,34127-07,pH-метры,,Эксперт-pH,ЭКСПЕРТ-pH,,,"ООО ""Эконикс-Эксперт"", г.Москва",2020-06-04T00:00:00Z,2018-34127-07.pdf
16,49149-12,Амперметры лабораторные,,Э536М,"Э535М, Э536М, Э537М, Э538М, Э539М",,,"ЗАО ""ПрофКИП"", г.Мытищи",2020-06-04T00:00:00Z,2012-49149-12.pdf
17,52647-13,Системы измерений параметров автомобильных транспортных средств в движении,,нет модификации,UnicamWIM,,,"Фирма ""CAMEA, spol. s r.o."", Чехия",2020-06-06T00:00:00Z,2020-52647-13.pdf
18,48026-11,Весы лабораторные,,ВК>,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-06-10T00:00:00Z,2021-48026-11.pdf
19,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"ШЦЦ-1-150-0,01",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-06-10T00:00:00Z,2014-57709-14.pdf
20,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"ШЦ-I-150-0,05",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-06-10T00:00:00Z,2014-57709-14.pdf
21,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"ШЦ-II-250 -0,05",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-06-11T00:00:00Z,2014-57709-14.pdf
22,21163-11,"Меры длины концевые плоскопараллельные. Наборы № 8, 9, 22, 23, 24 классов точности 1, 2, 3 с номинальным значением длины до 1000 мм",,Набор № 8 класса точности 2 с номинальным значением до 1000 мм,Нет данных,,,"ООО ""Кировский завод ""Красный инструментальщик"" (Крин), г.Киров",2020-06-11T00:00:00Z,2011-21163-11.pdf
23,14447-11,Счетчики трехфазные,,нет,ЦЭ6806,,,"АО ""Электротехнические заводы ""Энергомера"", г.Ставрополь",2020-06-15T00:00:00Z,2016-14447-11.pdf
24,57874-14,Приборы для измерений параметров света фар автотранспортных средств,,MLT 3000,MLT 3000,,,"Фирма ""MAHA Maschinenbau Haldenwang GmbH & Co. KG"", Германия",2020-06-15T00:00:00Z,2019-57874-14.pdf
25,57709-14,"Штангенциркули торговой марки ""Калиброн""",,Калиброн,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-06-16T00:00:00Z,2014-57709-14.pdf
26,21163-11,"Меры длины концевые плоскопараллельные. Наборы № 8, 9, 22, 23, 24 классов точности 1, 2, 3 с номинальным значением длины до 1000 мм",,Набор № 9 класса точности 2 с номинальным значением до 1000 мм,Нет данных,,,"ООО ""Кировский завод ""Красный инструментальщик"" (Крин), г.Киров",2020-06-16T00:00:00Z,2011-21163-11.pdf
27,45508-10,Рефлектометры портативные цифровые,,нет,РЕЙС-105М1,,,"ООО ""НПП ""Системы тестирования электрических линий"" (СТЭЛЛ), г.Брянск",2020-06-16T00:00:00Z,2020-45508-10.pdf
28,64188-16,Индикаторы,,ИЧ10,ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2020-06-17T00:00:00Z,2016-64188-16.pdf
29,64863-16,Газоанализаторы,,ФП34,ФП34,,,"НП ОДО ""Фармэк"", Беларусь, г.Минск",2020-06-17T00:00:00Z,2016-64863-16.pdf
30,53543-13,Анализаторы паров этанола в выдыхаемом воздухе,,нет,Drivesafe II,,,"Фирма ""Alcohol Countermeasure Systems Corp."", Канада",2020-06-22T00:00:00Z,2016-53543-13.pdf
31,52456-13,Электрокардиографы,,"CardiMax, исп. FX-8222, FX-8322, FX-8322R","CardiMax, исп. FX-8222, FX-8322, FX-8322R",,,"Фирма ""Fukuda Denshi Co., Ltd."", Япония",2020-06-22T00:00:00Z,2013-52456-13.pdf
32,70742-18,Шаблоны сварщика универсальные,,УШС-3,УШС-3,,,"ООО НТЦ ""Эксперт"", г.Москва",2020-06-23T00:00:00Z,2018-70742-18.pdf
33,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"ШЦ-I-125-0,05",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-06-29T00:00:00Z,2014-57709-14.pdf
34,68349-17,Рефлектометры оптические,,MAX-730C-SM2,MAX-700C,,,"Фирма ""EXFO Inc."", Канада",2020-06-29T00:00:00Z,2021-68349-17.pdf
35,59946-15,GNSS-приемники спутниковые геодезические многочастотные,,TRIUMPH-1М,TRIUMPH-1М,,,"Фирма ""Javad GNSS Inc."", США",2020-07-02T00:00:00Z,2019-59946-15.pdf
36,48026-11,Весы лабораторные,,ВК-600,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-07-03T00:00:00Z,2021-48026-11.pdf
37,64188-16,Индикаторы,,ИЧ,ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2020-07-07T00:00:00Z,2016-64188-16.pdf
38,53543-13,Анализаторы паров этанола в выдыхаемом воздухе,,Drivesafe II>,Drivesafe II,,,"Фирма ""Alcohol Countermeasure Systems Corp."", Канада",2020-07-07T00:00:00Z,2016-53543-13.pdf
39,45959-10,Штангенглубиномеры,,б/м,"MarCal 30 EWR, MarCal 30 ER, MarCal 30 EWN",,,"Фирма ""Mahr GmbH Esslingen"", Германия",2020-07-08T00:00:00Z,2015-45959-10.pdf
40,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,СКВ-12/32,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2020-07-09T00:00:00Z,2008-27361-04.pdf
41,24204-03,Комплекты термопреобразователей сопротивления платиновых,,КТСПТВХ,КТСПТВХ-В,,,"ООО НПП ""Тепловодохран"", г.Рязань",2020-07-10T00:00:00Z,2017-24204-03.pdf
42,39123-08,Вольтметры универсальные,,В7-53,В7-53,,,"Частное производственное унитарное предприятие ""Завод СВТ"", Беларусь, г.Минск",2020-07-15T00:00:00Z,2008-39123-08.pdf
43,23230-02,Калориметры бомбовые,,АБК-1,АБК-1,,,"ЗАО Инвестиционная НПК ""Русские Энергетические Технологии"" (РЭТ), г.Москва",2020-07-17T00:00:00Z,2012-23230-02.pdf
44,69363-17,Газоанализаторы портативные,,"Drager X-am 2500  (4 канала: O2, H2S, CH4, CO)",Drager X-am 2500 тип MQG 0011,,,"Фирма ""Drager Safety AG & Co. KGaA"", Германия",2020-07-17T00:00:00Z,2017-69363-17.pdf
45,49771-12,Влагомеры,,AGS 50,AGS,,,"Фирма ""AXIS"", Sp. z.o.o., Польша",2020-07-17T00:00:00Z,2017-49771-12.pdf
46,64188-16,Индикаторы,,ИЧ-3,ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2020-07-17T00:00:00Z,2016-64188-16.pdf
47,64188-16,Индикаторы,,ИЧ-5,ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2020-07-17T00:00:00Z,2016-64188-16.pdf
48,52095-12,Тепловизоры инфракрасные,,Fluke Ti105,"Fluke мод. Ti100, Ti105, Ti110, Ti125, TiR105, TiR110, TiR125",,,"Фирма ""Fluke Corporation"", США",2020-07-20T00:00:00Z,2012-52095-12.pdf
49,64188-16,Индикаторы,,ИЧ 50,ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2020-07-20T00:00:00Z,2016-64188-16.pdf
50,15492-11,Комплексы для автоматизированной интегральной оценки функционального состояния сердечно-сосудистой системы,,Кардиометр-МТ,Кардиометр-МТ,,,"АО ""Микард-Лана"", г.С.-Петербург",2020-07-20T00:00:00Z,2016-15492-11-1.pdf
51,52095-12,Тепловизоры инфракрасные,,Fluke Ti125,"Fluke мод. Ti100, Ti105, Ti110, Ti125, TiR105, TiR110, TiR125",,,"Фирма ""Fluke Corporation"", США",2020-07-20T00:00:00Z,2012-52095-12.pdf
