,name,unit,error,file_name,true_unit
0,Трансформатор напряжения эталонный мобильный NUES 750 тоЬ,"номинальные первичные напряжения, кв",,2005-30815-05.pdf,кв
1,,,,2008-01054-08.pdf,
2,Счетчики скоростные крыльчатые холодной и горячей воды холодной и горячей воды СквiСквг9оi скв-гкi СквiСквг9оi скв-гкi Сквг9о-гкiСквг i sо-гк sо-гк Сквг9о-гкiСквг i sо-гк,ду 10 мм мм 10 мм,"Пределы допускаемых значений относительной погрешности в относительной погрешности в интервалах измеряемого расхода, интервалах измеряемого расхода, °/о от Qmin до Qt	 +5 ± 2 от Qmin до Qt	 от Qt (включительно)",2008-27361-04.pdf,
3,Счетчики активной электрической энергии трехфазные электрической энергии трехфазные СЕ 301 СЕ 301,имп/кВт • ч 8 Диапазон значений постоянной счетчика от 450 имп/кВт См.,"Пределы допускаемой	 основной	 по- грешности при измерении тока Б,, %, для счетчиков класса точности Пределы грешности грешности для для счетчиков класса точности 0,58 1 ± 2,0",2008-34048-08.pdf,
4,Системы ввода-вывода распределенные Га 1'уе1 I/О Га 1'уе1 I/О,,"пределы допускае- мой основной при- веденной погрешно- сти при температу - ре	 (+20 t 5) °С, t% 0,2",2008-34291-07.pdf,
5,Счетчики активной энергии переменного тока статические однофазные «АРБИТР»,"счетчика, имп/кВт ч Постоянная счетчика,",,2008-36028-07.pdf,имп
6,Вольтметры универсальные В7-53,"Измерение постоянного напряжения: - пределы измерений В; 200 мВ;2, 20, 200, 1000 В;","относительной погрешности измерений: 1) при 4 Уг разряда индикации: а) на пределах 200 мВ; 2, 20, 200 В ±[0,04 + 0,01(Ш/Ш - 1)] %;",2008-39123-08.pdf,2
7,Установка эталонная автоматизированная автоматизированная УЛР - 1 А,,"Предел допускаемой основной относи- тельной погрешности передачи разме- ров единиц коэффициента пульсаций , °/о, не более 3,0 °/о, не более Спектральный",2008-39753-08.pdf,
8,Термометры электронные цифровые ТР-5С,"Рабочий диапазон измеряемых температур, °С Пределы допускаемой абсолютной погрешности","..±0,2 0,1 Пределы допускаемой абсолютной погрешности , °С	 Дискретность, °С	",2008-39798-08.pdf,°С
9,"Тонометры автоматические ТМ «36,6» мод. HL-168FD ТМ «36,6» мод. HL-168FD","мм рт.ст. при измерении Диапазон измерений давления воздуха в манжете, мм Пределы допускаемой абсолютной погрешности при Диапазон Пределы","Пределы допускаемой абсолютной погрешности при измерении давления воздуха в компрессионной манжете, мм рт. ст. 	 давления воздуха в компрессионной манжете, мм рт. ст. 	 Диапазон измерений частоты пульса, 1 /мин 	 	 ± 3",2008-39998-08.pdf,мм
